device_codename,brand,Retail Branding,Marketing Name,Device
A7000plus,Lenovo,Lenovo,Lenovo A7000 Plus,A7000plus
A3_mini,LAVA,,,
ASUS_Z00E_4,asus,Asus,ZenFone 2 Laser (ZE500KL),ASUS_Z00E_4
vivalto3gvn,samsung,Samsung,Galaxy S Duos3,vivalto3gvn
1601,vivo,Vivo,vivo 1601,1601
j3xpro6mltechn,samsung,,,
hero2lte,samsung,Samsung,Galaxy S7 Edge,hero2lte
santoni,Xiaomi,,,
Y35,vivo,,,
"iPhone6,1",Apple,,,
ASUS_X00DD,asus,Asus,X00DD,ASUS_X00DD
k3g,samsung,Samsung,Galaxy S5,k3g
B16C2H,Smartfren,Smartfren,B16C2H,B16C2H
grandpplte,samsung,Samsung,Galaxy J2 Prime,grandpplte
grandpplte,samsung,Samsung,Grand Prime Plus,grandpplte
A33,OPPO,Oppo,A33,A33
A33,OPPO,Oppo,A33f,A33
A33,OPPO,Oppo,A33fw,A33
A33,OPPO,Oppo,A33m,A33
tiffany,xiaomi,,,
zerolte,samsung,Samsung,Galaxy S6 Edge,zerolte
1718,vivo,,,
hydrogen,Xiaomi,Xiaomi,MI MAX,hydrogen
K53a48,Lenovo,Lenovo,Leovo VIBE K6 Note,K53a48
ZTE-V9820,ZTE,ZTE,ZTE V9820,ZTE-V9820
hermes,Xiaomi,Xiaomi,HM Note 2,hermes
B26D2H,Smartfren,,,
j2lte,samsung,Samsung,Galaxy J2,j2lte
SO-02F,docomo,Sony,Xperia Z1f,SO-02F
A6010,Lenovo,Lenovo,Lenovo A6010,A6010
ugglite,xiaomi,,,
A65A,EVERCOSS,,,
oxygen,Xiaomi,,,
lcsh92_wet_jb9,Xiaomi,Xiaomi,HM NOTE 1W,lcsh92_wet_jb9
ASUS_X00AD_2,asus,Asus,X00AD_2,ASUS_X00AD_2
Che1,Honor,Huawei,Che1-CL10,Che1
Che1,Honor,Huawei,Che1-CL20,Che1
Che1,Honor,Huawei,Che1-L04,Che1
ms013g,samsung,Samsung,Galaxy Grand2,ms013g
P1a42,Lenovo,Lenovo,Lenovo P1,P1a42
Infinix-X521,Infinix,Infinix,INFINIX-X521,Infinix-X521
Infinix-X521,Infinix,Infinix,Infinix-X521,Infinix-X521
Infinix-X521,Infinix,Infinix,Infinix-X521S,Infinix-X521
prada,Xiaomi,Xiaomi,Redmi 4,prada
X555,Infinix,,,
vasta3g,samsung,Samsung,Galaxy Mega2,vasta3g
ASUS_X00LD_1,asus,,,
a33g,samsung,Samsung,Galaxy A3,a33g
sanders_n,motorola,,,
ASUS_Z017D_1,asus,Asus,ZenFone3,ASUS_Z017D_1
j7y17lte,samsung,,,
ASUS_Z00VD,asus,Asus,Zenfone Go (ASUS_Z00VD),ASUS_Z00VD
CPH1723,OPPO,,,
Z00A,asus,Asus,ZenFone 2 (ZE551ML),Z00A
A6020l36,Lenovo,Lenovo,Lenovo K5,A6020l36
hwALE-H,Huawei,Huawei,P8 Lite,hwALE-H
hwALE-H,Huawei,Huawei,P8 \xe9\x9d\x92\xe6\x98\xa5\xe7\x89\x88,hwALE-H
gemini,Xiaomi,Xiaomi,Mi 5,gemini
C2105,Sony,Sony,Xperia L,C2105
libra,Xiaomi,Xiaomi,Mi 4c,libra
R2001,OPPO,OPPO,R2001,R2001
ASUS_X008,asus,Asus,ZenFone 3 Max (ZC520TL),ASUS_X008
herolte,samsung,Samsung,Galaxy S7,herolte
zeroflte,samsung,Samsung,Galaxy S6,zeroflte
a3xelte,samsung,Samsung,Galaxy A3(2016),a3xelte
D2533,Sony,Sony,Xperia C3,D2533
bbc100,blackberry,,,
j7xelte,samsung,Samsung,Galaxy J7(2016),j7xelte
ASUS_X007D,asus,Asus,ZenFone Go (ZB552KL),ASUS_X007D
1719,vivo,,,
E5563,Sony,Sony,Xperia C5 Ultra Dual,E5563
HWLUA-U6582,HUAWEI,Huawei,HUAWEI ECO,HWLUA-U6582
HWLUA-U6582,HUAWEI,Huawei,HUAWEI Y3II,HWLUA-U6582
hammerhead,google,LGE,Nexus 5,hammerhead
A33w,OPPO,Oppo,A33w,A33w
tre3g,samsung,Samsung,Galaxy Note4,tre3g
INFINIX-X552,Infinix,Infinix,INFINIX-X552,INFINIX-X552
INFINIX-X552,Infinix,Infinix,Infinix-X552,INFINIX-X552
INFINIX-X552,Infinix,Infinix,Infinix-X552-C1,INFINIX-X552
A859_ROW,Lenovo,Lenovo,Lenovo A859,A859_ROW
D5503,Sony,Sony,Xperia Z1 Compact,D5503
ASUS_T00F,asus,Asus,ZenFone 5,ASUS_T00F
ASUS_T00F,asus,Asus,ZenFone 5 (A500CG),ASUS_T00F
j3ltetw,samsung,Samsung,Galaxy J3(2016),j3ltetw
ASUS_T00J,asus,Asus,ZenFone 5,ASUS_T00J
"iPhone5,4",Apple,,,
ASUS_Z007,asus,Asus,ZenFone C (ZC451CG),ASUS_Z007
1603,vivo,Vivo,vivo Y55,1603
POLYTRON_4G501,POLYTRON,,,
e53g,samsung,Samsung,Galaxy E5,e53g
j5xnlte,samsung,Samsung,Galaxy J5(2016),j5xnlte
ASUS_Z010,asus,Asus,Zenfone MAX,ASUS_Z010
ASUS_Z010,asus,Asus,Zenfone MAX (ZC550KL),ASUS_Z010
X9009,OPPO,Oppo,X9009,X9009
X9009,OPPO,Oppo,X9009fw,X9009
ido_rifle007,Xiaomi,,,
P70-A,Lenovo,Lenovo,Lenovo P70,P70-A
C6603,Sony,Sony,Xperia Z,C6603
Kraft-A6000,Lenovo,Lenovo,Lenovo A6000,Kraft-A6000
xiaomi,Xiaomi,,,
dior,Xiaomi,Xiaomi,HM NOTE 1LTETD,dior
C6903,Sony,Sony,Xperia Z1,C6903
C6903,Sony,Sony Ericsson,Xperia Z1,C6903
P2a42,Lenovo,Lenovo,Lenovo P2,P2a42
1714,vivo,,,
HWVNS-H,HUAWEI,Huawei,HUAWEI P9 lite,HWVNS-H
HWVNS-H,HUAWEI,Huawei,\xe5\x8d\x8e\xe4\xb8\xbaG9\xe9\x9d\x92\xe6\x98\xa5\xe7\x89\x88,HWVNS-H
1716,vivo,,,
ASUS_T00I,asus,Asus,ZenFone 4 (A400CG),ASUS_T00I
F1f,OPPO,Oppo,F1f,F1f
F1f,OPPO,Oppo,F1fw,F1f
F1f,OPPO,Oppo,F1w,F1f
E561,Coolpad,Coolpad,Coolpad E561,E561
CPH1717,OPPO,,,
A2010-a,Lenovo,Lenovo,Lenovo A2010-a,A2010-a
virgo,Xiaomi,Xiaomi,MI NOTE LTE,virgo
virgo,Xiaomi,Xiaomi,Mi Note,virgo
CPH1725,OPPO,,,
X602,Infinix,,,
noblelte,samsung,Samsung,Galaxy Note5,noblelte
R7f,OPPO,Oppo,R7 Lite,R7f
R7f,OPPO,Oppo,R7f,R7f
R7f,OPPO,Oppo,R7g,R7f
R7f,OPPO,Oppo,R7kf,R7f
P1ma40,Lenovo,,,
"iPhone7,2",Apple,,,
angus3A4,Lenovo,Lenovo,Lenovo A2020a40,angus3A4
HWHol-U,HUAWEI,Huawei,Hol-U10,HWHol-U
HWHol-U,HUAWEI,Huawei,Hol-U19,HWHol-U
mx4pro,Meizu,,,
a3y17lte,samsung,,,
S50D,EVERCOSS,,,
ASUS_T00N,asus,Asus,PadFone S (PF500KL),ASUS_T00N
j3y17lte,samsung,,,
jadelte,samsung,,,
CROSS2,TCL,TCT (Alcatel),ALCATEL ONETOUCH Flash Plus,CROSS2
CROSS2,TCL,TCT (Alcatel),TCL M2M,CROSS2
CROSS2,TCL,TCT (Alcatel),TCL M2U,CROSS2
Y28,vivo,Vivo,vivo Y28,Y28
mlt6755_65t_m,POLYTRON,,,
ADVAN_A8,ADVAN,,,
Z01B_1,asus,Asus,Zenfone 3 Laser,Z01B_1
lt023g,samsung,Samsung,Galaxy Tab3 7.0,lt023g
ASUS_X008_1,asus,Asus,ZenFone 3 Max (ZC520TL),ASUS_X008_1
"iPhone6,2",Apple,,,
fortuna3g,samsung,Samsung,Galaxy Grand Prime,fortuna3g
F3212,Sony,Sony,Xperia XA Ultra,F3212
dreamlte,samsung,,,
A6600d40,Lenovo,Lenovo,Lenovo A6600,A6600d40
"iPhone5,2",Apple,,,
1610,vivo,,,
p1,lge,LGE,LG G4,p1
HWCUN-L6735,HUAWEI,Huawei,CUN-TL00,HWCUN-L6735
HWCUN-L6735,HUAWEI,Huawei,HUAWEI CUN-AL00,HWCUN-L6735
HWCUN-L6735,HUAWEI,Huawei,HUAWEI Y5II,HWCUN-L6735
PLE,Nokia,,,
j1acelte,samsung,Samsung,Galaxy J1 Ace,j1acelte
EVERCOSS_S50,EVERCOSS,,,
armani,Xiaomi,Lenovo,A706,armani
armani,Xiaomi,Xiaomi,HM 1SC,armani
ASUS_X00IDC,asus,,,
ph1,lge,LGE,LG Stylo 2,ph1
ph1,lge,LGE,LG Stylus 2,ph1
m2,Meizu,,,
cancro,Xiaomi,Xiaomi,MI 3W,cancro
cancro,Xiaomi,Xiaomi,MI 4LTE,cancro
cancro,Xiaomi,Xiaomi,MI 4LTE-CT,cancro
U50A_PLUS,EVERCOSS,,,
ASUS_Z00E_2,asus,Asus,ZenFone 2 Laser (ZE500KL),ASUS_Z00E_2
A369i,Lenovo,Lenovo,A369i,A369i
Infinix-X571,Infinix,,,
j1acevelte,samsung,Samsung,Galaxy J1 Ace,j1acevelte
j7velte,samsung,,,
E5333,Sony,Sony,Xperia\xe2\x84\xa2 C4 Dual,E5333
U20,Meizu,,,
baffin,samsung,Samsung,Galaxy Grand Duos,baffin
baffin,samsung,Samsung,Galaxy Grand duos,baffin
baffin,samsung,ZTE,Z716BL,baffin
HS8929QC,Smartfren,Hisense,C1,HS8929QC
HS8929QC,Smartfren,Hisense,C1AE,HS8929QC
HS8929QC,Smartfren,Hisense,C1AE-1,HS8929QC
HS8929QC,Smartfren,Hisense,C1AE-2,HS8929QC
HS8929QC,Smartfren,Hisense,C1BE,HS8929QC
HS8929QC,Smartfren,Hisense,C1M,HS8929QC
HS8929QC,Smartfren,Hisense,C1T,HS8929QC
HS8929QC,Smartfren,Hisense,C20F,HS8929QC
HS8929QC,Smartfren,Hisense,C20FE-1,HS8929QC
HS8929QC,Smartfren,Hisense,C20W,HS8929QC
HS8929QC,Smartfren,Hisense,E70-T,HS8929QC
HS8929QC,Smartfren,Hisense,E71-M,HS8929QC
HS8929QC,Smartfren,Hisense,E71-T,HS8929QC
HS8929QC,Smartfren,Hisense,E75M,HS8929QC
HS8929QC,Smartfren,Hisense,E75T,HS8929QC
HS8929QC,Smartfren,Hisense,H910,HS8929QC
HS8929QC,Smartfren,Hisense,I56D2G,HS8929QC
HS8929QC,Smartfren,Hisense,L671,HS8929QC
HS8929QC,Smartfren,Hisense,L671W,HS8929QC
HS8929QC,Smartfren,Hisense,L671WE_1,HS8929QC
HS8929QC,Smartfren,Hisense,L671WE_2,HS8929QC
HS8929QC,Smartfren,Hisense,L676BE-1,HS8929QC
HS8929QC,Smartfren,Hisense,L676BE-2,HS8929QC
HS8929QC,Smartfren,Hisense,L695,HS8929QC
HS8929QC,Smartfren,Hisense,L695W,HS8929QC
HS8929QC,Smartfren,Hisense,L695WE_2,HS8929QC
HS8929QC,Smartfren,Hisense,c20,HS8929QC
HS8929QC,Smartfren,Hisense,c20ae,HS8929QC
HS8929QC,Smartfren,Hisense,c20fe-3,HS8929QC
HS8929QC,Smartfren,Hisense,l676be,HS8929QC
HS8929QC,Smartfren,Pantech,V955,HS8929QC
HS8929QC,Smartfren,Pantech,v950,HS8929QC
HS8929QC,Smartfren,Pantech,v955,HS8929QC
t03g,samsung,Samsung,Galaxy Note2,t03g
LAVA_R1,Lava,,,
c9lte,samsung,,,
ADVAN_i5C_Plus,ADVAN,,,
A6600a40,Lenovo,Lenovo,Lenovo A6600 Plus,A6600a40
unknown,Xiaomi,,,
gracerlte,samsung,,,
rlk6737m_35g_c_m0,ADVAN,,,
k7,lge,LGE,LG X cam,k7
7 Plus,APPLE,,,
zoom_row,Lenovo,Lenovo,Lenovo Z90a40/VIBE Shot,zoom_row
bd6735_65u_b_l1,POLYTRON,,,
alicee,lge,LGE,LG G5 SE,alicee
A3_4G,Lava,,,
D6503,Sony,Sony,Xperia Z2,D6503
ugg,xiaomi,,,
E5633,Sony,Sony,Xperia M5 Dual,E5633
msf3,lge,,,
X601-LTE,Infinix,Infinix,Infinix NOTE 3 Pro,X601-LTE
CPH1613,OPPO,,,
gtexslte,samsung,Samsung,Galaxy Tab A 7.0,gtexslte
NE1,Nokia,,,
mm1v,lge,LGE,LG K8,mm1v
mk6p,lge,LGE,LG X power,mk6p
HS8916QC,Smartfren,Crosscall,Trekker- M1,HS8916QC
HS8916QC,Smartfren,Hisense,HS- G610,HS8916QC
HS8916QC,Smartfren,Hisense,HS- L682,HS8916QC
HS8916QC,Smartfren,Hisense,HS-G610,HS8916QC
HS8916QC,Smartfren,Hisense,Hisense I635T,HS8916QC
HS8916QC,Smartfren,Hisense,Hisense L682,HS8916QC
HS8916QC,Smartfren,Hisense,L635E_1,HS8916QC
HS8916QC,Smartfren,Hisense,L678,HS8916QC
HS8916QC,Smartfren,Hisense,L681,HS8916QC
HS8916QC,Smartfren,Hisense,M821,HS8916QC
HS8916QC,Smartfren,Hisense,M821H,HS8916QC
HS8916QC,Smartfren,Hisense,M821T,HS8916QC
HS8916QC,Smartfren,Smartfren,Andromax C46B2G,HS8916QC
HS8916QC,Smartfren,Smartfren,G36C1G,HS8916QC
HS8916QC,Smartfren,Smartfren,I46D1G,HS8916QC
D2302,Sony,Sony,Xperia M2 Dual,D2302
D2302,Sony,Sony,Xperia M2 dual,D2302
F3116,Sony,Sony,Xperia XA,F3116
lava35m_sp45,LAVA,,,
melius3g,samsung,Samsung,Galaxy Mega 6.3,melius3g
g2,lge,LGE,L-01F,g2
g2,lge,LGE,LG G2,g2
g2,lge,LGE,LGL22,g2
R7sf,OPPO,Oppo,R7sfg,R7sf
D2305,Sony,Sony,Xperia M2,D2305
ASUS_X00HD_1,asus,,,
iris702,Lava,,,
ASUS_Z00L_63,asus,Asus,ZenFone 2 Laser (ZE550KL),ASUS_Z00L_63
D5803,Sony,Sony,Xperia Z3 Compact,D5803
crater,samsung,Samsung,Galaxy Mega 5.8,crater
baffinlite,samsung,Samsung,Galaxy Grand Neo,baffinlite
"iPhone9,2",Apple,,,
a7y17lte,samsung,,,
i5C,ADVAN,,,
Y51L,vivo,,,
a5lte,samsung,Samsung,Galaxy A5,a5lte
A66A*,EVERCOSS,,,
F01F,DOCOMO,Fujitsu,F-01F,F01F
Infinix_X510_sprout,Infinix,Infinix,Infinix,Infinix_X510_sprout
A11w,OPPO,Oppo,OPPO A11w,A11w
j13g,samsung,Samsung,Galaxy J1,j13g
C5503,Sony,Sony,,C5503
C5503,Sony,Sony,Xperia ZR,C5503
Infinix_X509,Infinix,Infinix,Zero 2,Infinix_X509
kanas,samsung,Samsung,Galaxy Core 2,kanas
kanas,samsung,Samsung,Galaxy Core2,kanas
V3,vivo,Haier,V3,V3
V3,vivo,Vivo,vivo V3,V3
1611,vivo,,,
E5663,Sony,Sony,Xperia M5 Dual,E5663
mp1s3gds,lge,LGE,LG G4 Stylus,mp1s3gds
gtanotexllte,samsung,Samsung,Galaxy Tab A 10.1(2016),gtanotexllte
gtanotexllte,samsung,Samsung,Galaxy TabA Plus 10.1,gtanotexllte
A7000-a,Lenovo,Lenovo,Lenovo A7000,A7000-a
Y21,vivo,Vivo,vivo Y21,Y21
D2502,Sony,Sony,Xperia C3 Dual,D2502
A7700,Lenovo,Lenovo,Lenovo A7700,A7700
HM2014811,Xiaomi,Xiaomi,HM 2LTE-CU,HM2014811
goyave3gsea,samsung,Samsung,Galaxy Tab Plus 7.0,goyave3gsea
goyave3gsea,samsung,Samsung,Galaxy Tab3V 7.0,goyave3gsea
iris870,Lava,,,
A65_sprout,google,Evercoss,One X,A65_sprout
nicklaus_f,motorola,,,
a8elte,samsung,Samsung,Galaxy A8,a8elte
advan8321_9709,Advan,,,
meri,Xiaomi,,,
ASUS_Z011,asus,Asus,ZenFone 2 Laser (ZE601KL),ASUS_Z011
taido_row,motorola,Lenovo,Moto E3 Power,taido_row
a9xproltesea,samsung,Samsung,Galaxy A9 Pro,a9xproltesea
C6802,Sony,Sony,Xperia Z Ultra,C6802
T01,acer,Acer,Liquid Z330,T01
lava72_sp49th,LAVA,,,
E6553,Sony,Sony,Xperia Z3+,E6553
INFINIX-X553-A1,INFINIX,Infinix,Infinix HOT 3 LTE,INFINIX-X553-A1
VENGE(AX5),Axioo,,,
A26C4H,Smartfren,Smartfren,A26C4H,A26C4H
v12bnlite,WIKO,,,
Vandroid,ADVAN,,,
E2353,Sony,Sony,Xperia\xe2\x84\xa2 M4 Aqua,E2353
CPH1727,OPPO,,,
C2305,Sony,Sony,Xperia C,C2305
G3312,Sony,,,
zx55q05_64,ZTE,,,
ASUS_X014D_1,asus,Asus,Zenfone GO,ASUS_X014D_1
dream2lte,samsung,,,
s5201ap,WIKO,Wiko,LENNY,s5201ap
X9076,OPPO,OPPO,X9076,X9076
SBM303SH,SBM,Sharp,AQUOS PHONE Xx mini 303SH,SBM303SH
e73g,samsung,Samsung,Galaxy E7,e73g
java_great_a900,POLYTRON,,,
M3s,Meizu,CZ Electronics,M3s,M3s
natrium,Xiaomi,Xiaomi,MI 5s Plus,natrium
msm8226,IVO,FarEasTone,Smart 403,msm8226
msm8226,IVO,Hisense,HS-I630M,msm8226
msm8226,IVO,Hisense,HS-I630T,msm8226
msm8226,IVO,Hisense,L691AE,msm8226
msm8226,IVO,Hisense,SKi630t,msm8226
msm8226,IVO,Hisense,l691,msm8226
msm8226,IVO,ZTE,Amazing P6,msm8226
msm8226,IVO,ZTE,Amazing X2,msm8226
msm8226,IVO,ZTE,Blade Apex2,msm8226
msm8226,IVO,ZTE,FT142D,msm8226
msm8226,IVO,ZTE,Infinity X^2 mini,msm8226
msm8226,IVO,ZTE,KPN Smart 400,msm8226
msm8226,IVO,ZTE,Orange Hi 4G,msm8226
msm8226,IVO,ZTE,Orange Rono,msm8226
msm8226,IVO,ZTE,Soshphone 4G,msm8226
msm8226,IVO,ZTE,TURKCELL T50,msm8226
msm8226,IVO,ZTE,ZTE Blade Apex2,msm8226
msm8226,IVO,ZTE,ZTE Blade Vec 4G,msm8226
msm8226,IVO,ZTE,ZTE GEEK II 4G,msm8226
msm8226,IVO,ZTE,ZTE Geek 2 LTE,msm8226
msm8226,IVO,ZTE,ZTE STAR,msm8226
msm8226,IVO,ZTE,ZTE T80,msm8226
msm8226,IVO,ZTE,ZTE T86,msm8226
msm8226,IVO,ZTE,ZTE T88,msm8226
hct6750_c66_b_m,DOOGEE,,,
Pixi4-5,TCL,TCT (Alcatel),PIXI 4 (5),Pixi4-5
hl3g,samsung,Samsung,Galaxy Note3 Neo,hl3g
t0ltelgt,samsung,Samsung,Galaxy Note2,t0ltelgt
G8232,Sony,,,
ASUS_X00IDB,asus,,,
j1xlte,samsung,Samsung,Galaxy J1,j1xlte
j1xlte,samsung,Samsung,Galaxy J1(2016),j1xlte
POLYTRON_4G551,POLYTRON,,,
ja3g,samsung,Samsung,Galaxy S4,ja3g
M23i,M23i,,,
D6603,Sony,Sony,Xperia Z3,D6603
h533_b1,Infinix,,,
sisleyr,Lenovo,Lenovo,Lenovo S90-A,sisleyr
HWTAG-L6753,HUAWEI,Huawei,HUAWEI GR3,HWTAG-L6753
HWTAG-L6753,HUAWEI,Huawei,HUAWEI GR3 Smart touch,HWTAG-L6753
HWTAG-L6753,HUAWEI,Huawei,HUAWEI TANGO,HWTAG-L6753
hwCHM-H,Honor,Huawei,CHM-U01,hwCHM-H
hwCHM-H,Honor,Huawei,\xe8\x8d\xa3\xe8\x80\x80\xe7\x95\x85\xe7\x8e\xa94C,hwCHM-H
ASUS_A007,asus,,,
HS8610QC,Smartfren,Smartfren,NC36B1G,HS8610QC
v3953,WIKO,,,
k5,lge,Acer,,k5
k5,lge,LGE,LG X Screen,k5
k5,lge,LGE,LG X screen,k5
ASUS_X009D_2,asus,Asus,Zenfone Go,ASUS_X009D_2
CPY83_S00,Coolpad,Coolpad,Coolpad Y83_S00,CPY83_S00
mlv7,lge,,,
P024_2,asus,Asus,Zenpad 8 LTE,P024_2
Y72_921,Coolpad,,,
ha3g,samsung,Samsung,Galaxy Note3,ha3g
"iPhone7,1",Apple,,,
young23g,samsung,Samsung,Galaxy Young2,young23g
M20i,HIMAX,,,
me1ds,lge,LGE,LG K4 LTE,me1ds
omega,Xiaomi,Acer,A3-A30,omega
omega,Xiaomi,LGE,LG Gx,omega
omega,Xiaomi,Xiaomi,Redmi Pro,omega
HM2014813,Xiaomi,Xiaomi,HM 2LTE-CMCC,HM2014813
"iPhone10,2",Apple,,,
arubaslim,samsung,Samsung,Galaxy Core,arubaslim
arubaslim,samsung,Samsung,Galaxy S3 Duos,arubaslim
R7Plusm,OPPO,Oppo,R7 Plusf,R7Plusm
R7Plusm,OPPO,Oppo,R7 Plusm,R7Plusm
HWKII-Q,HUAWEI,Huawei,HUAWEI GR5,HWKII-Q
acer_z520,acer,Acer,Liquid Z520,acer_z520
MEIZU_M5,Meizu,,,
SM-G925F,samsung,,,
ASUS_T00G,asus,Asus,ZenFone 6,ASUS_T00G
ASUS_T00G,asus,Asus,ZenFone 6 (A600CG),ASUS_T00G
m2note,Meizu,,,
G55,LUNA,,,
Android,POLYTRON,Lenovo,,Android
gucci,Xiaomi,Xiaomi,HM NOTE 1S CT,gucci
ADVAN_I5E,ADVAN,,,
EVERCOSS,EVERCOSS,,,
HM2014819,Xiaomi,Xiaomi,HM 2LTE-BR,HM2014819
logan,samsung,Samsung,Galaxy Ace3,logan
Lion-5,TCL,TCT (Alcatel),Alcatel_7049D,Lion-5
Lion-5,TCL,TCT (Alcatel),Flash2_7049D,Lion-5
g808_x551_b1_in_30a,Infinix,,,
R108,Coolpad,Coolpad,Coolpad R108,R108
trelteskt,samsung,Samsung,Galaxy Note4,trelteskt
EVERCOSS-A75L,EVERCOSS-A75L,,,
p1,KDDI,LGE,LG G4,p1
lucye,lge,,,
POLYTRON_4G503,POLYTRON,,,
c7ltechn,samsung,Samsung,Galaxy C7,c7ltechn
a7xelte,samsung,Samsung,Galaxy A7(2016),a7xelte
b2lds,lge,LGE,G Vista,b2lds
V55C,ELEVATE,Elevate,V55C,V55C
ASUS_Z012D,asus,Asus,ZenFone3,ASUS_Z012D
ASUS_Z012D,asus,Asus,Zenfone 3,ASUS_Z012D
shamu,google,Motorola,Nexus 6,shamu
m253,lge,LGE,LG K10 LTE,m253
OPPO72_14079,OPPO,,,
htc_pmewl,htc,HTC,HTC 10,htc_pmewl
CoolpadA118,Coolpad,,,
X556,Infinix,Infinix,HOT 4 PRO,X556
X556,Infinix,Infinix,Infinix HOT 4 Pro,X556
SM-G9350,samsung,,,
CP8722_S00,Coolpad,Coolpad,Coolpad 8722_S00,CP8722_S00
AT8D,AT8D,,,
D5788,Sony,Sony,Xperia J1 Compact,D5788
htc_m8,htc,HTC,HTC One (M8),htc_m8
MSM8909QC,Smartfren,Smartfren,B16C2G,MSM8909QC
w822_648_aw_ys_r3_c03_ddr3,icherry,,,
F04G,DOCOMO,Fujitsu,F-04G,F04G
ASUS_Z00SD,asus,Asus,Zenfone Go (ASUS_Z00SD),ASUS_Z00SD
R821,OPPO,OPPO,R821,R821
R821,OPPO,Oppo,R821,R821
on5xlltechn,samsung,Samsung,Galaxy On5(2016),on5xlltechn
R50B,R50B,,,
Blackview,Blackview,Blackview,Blackview BV6000,Blackview
M5Note,Meizu,,,
1201,OPPO,Oppo,OPPO 1201,1201
advan8735m_9706c,advan,,,
AD681H,Smartfren,,,AD681H
AD681H,Smartfren,Haier,Smartfren Andromax AD681H,AD681H
X2-AP,Lenovo,Lenovo,Lenovo  X2,X2-AP
TB3-730X,Lenovo,Lenovo,Lenovo TAB3 730X,TB3-730X
mega2lte,samsung,Samsung,Galaxy Mega2,mega2lte
BLAUPUNKT_X1plus,BLAUPUNKT,,,
